パート,種類,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説
単語の意味,4択,Friday,金曜日,水曜日,日曜日,土曜日,金曜日,
単語の意味,4択,aunt,おば,赤ちゃん,母,家族,おば,
単語の意味,4択,five,5,12,80,70,5,
単語の意味,4択,April,4月,6月,3月,1月,4月,
単語の意味,4択,March,3月,4月,5月,12月,3月,
単語の意味,4択,house,家,学校,本,友だち,家,
単語の意味,4択,family,家族,いとこ,親,おば,家族,
単語の意味,4択,drums,ドラム,フルート,ピアノ,バイオリン,ドラム,
単語の意味,4択,cow,ウシ,カンガルー,キリン,トラ,ウシ,
単語の意味,4択,seven,7,1,21,80,7,
単語の意味,4択,guitar,ピアノ,バイオリン,ギター,ドラム,ギター,
単語の意味,4択,twenty,20,16,8,10,20,
単語の意味,4択,cousin,いとこ,父,姉・妹,赤ちゃん,いとこ,
単語の意味,4択,pineapple,パイナップル,イチゴ,バナナ,スイカ,パイナップル,
単語の意味,4択,monkey,サル,カエル,イヌ,ヘビ,サル,
単語の意味,4択,hundred,100,90,16,3,100,
単語の意味,4択,ski,スキーをする,スケートをする,泳ぐ,ダンスをする,スキーをする,
単語の意味,4択,beautiful,美しい,危険な,かわいい,すばらしい,美しい,
単語の意味,4択,nineteenth,19日,28日,8日,23日,19日,
単語の意味,4択,elephant,ゾウ,ブタ,コアラ,ネコ,ゾウ,
単語の意味,4択,funny,おかしい,わくわくさせる,興味深い,すばらしい,おかしい,
単語の意味,4択,dangerous,危険な,かわいい,すばらしい,わくわくさせる,危険な,
単語の意味,4択,September,9月,5月,11月,1月,9月,
単語の意味,4択,pig,ブタ,ウマ,ウサギ,ゾウ,ブタ,
単語の意味,4択,fall,秋,冬,春,夏,秋,
単語の意味,4択,eleven,11,21,19,3,11,
単語の意味,4択,snake,ヘビ,ウマ,ヒツジ,鳥,ヘビ,
単語の意味,4択,gentle,おだやかな,かしこい,人なつっこい,強い,おだやかな,
単語の意味,4択,fourth,4日,6日,26日,3日,4日,
単語の意味,4択,July,7月,11月,5月,10月,7月,
単語の意味,4択,cat,ネコ,ライオン,魚,ヘビ,ネコ,
単語の意味,4択,Tuesday,火曜日,木曜日,土曜日,水曜日,火曜日,
単語の意味,4択,Saturday,土曜日,日曜日,水曜日,木曜日,土曜日,
単語の意味,4択,six,6,17,13,9,6,
単語の意味,4択,eighty,80,60,11,50,80,
単語の意味,4択,parent,親,おば,いとこ,兄・弟,親,
単語の意味,4択,dolphin,イルカ,魚,ライオン,コアラ,イルカ,
単語の意味,4択,violin,バイオリン,ピアノ,ギター,フルート,バイオリン,
単語の意味,4択,basketball,バスケットボール,サッカー,野球,テニス,バスケットボール,
単語の意味,4択,strong,強い,かしこい,おだやかな,勇敢な,強い,
単語の意味,4択,badminton,バドミントン,テニス,バレーボール,バスケットボール,バドミントン,
単語の意味,4択,supermarket,スーパーマーケット,神社,本屋,動物園,スーパーマーケット,
単語の意味,4択,October,10月,12月,1月,9月,10月,
単語の意味,4択,tiger,トラ,ヒツジ,ヘビ,クジラ,トラ,
単語の意味,4択,seventeenth,17日,5日,26日,25日,17日,
単語の意味,4択,horse,ウマ,ブタ,コアラ,イヌ,ウマ,
単語の意味,4択,sweet,甘い,塩辛い,とてもおいしい,苦い,甘い,
単語の意味,4択,fourteenth,14日,23日,9日,20日,14日,
単語の意味,4択,May,5月,2月,6月,9月,5月,
単語の意味,4択,December,12月,1月,5月,10月,12月,
単語の意味,4択,exciting,わくわくさせる,興味深い,美しい,すばらしい,わくわくさせる,
単語の意味,4択,sour,すっぱい,苦い,とてもおいしい,甘い,すっぱい,
単語の意味,4択,wise,賢明な,親切な,かしこい,強い,賢明な,
単語の意味,4択,giraffe,キリン,イヌ,ネコ,カエル,キリン,
単語の意味,4択,flute,フルート,ギター,バイオリン,ドラム,フルート,
単語の意味,4択,art,美術,理科,国語,英語,美術,
単語の意味,4択,bag,かばん,名前,ペン,家,かばん,
単語の意味,4択,warm,暖かい,くもりの,寒い,雨の,暖かい,
単語の意味,4択,winter,冬,秋,夏,春,冬,
単語の意味,4択,baby,赤ちゃん,兄・弟,おば,親,赤ちゃん,
単語の意味,4択,apple,リンゴ,キウイ,マンゴー,パイナップル,リンゴ,
単語の意味,4択,sixteen,16,15,2,40,16,
単語の意味,4択,koala,コアラ,イヌ,ヘビ,ウマ,コアラ,
単語の意味,4択,rainy,雨の,雪の,寒い,晴れの,雨の,
単語の意味,4択,interesting,興味深い,わくわくさせる,危険な,すばらしい,興味深い,
単語の意味,4択,August,8月,5月,7月,10月,8月,
単語の意味,4択,science,理科,数学,体育,英語,理科,
